CT,DICE_panc,DICE_kidn,DICE_livr,CONF_panc,CONF_kidn,CONF_livr,Entropy_GT,Entropy_Pred,Hausdorff_1,Hausdorff_2,Hausdorff_3,ECE_1,ECE_2,ECE_3,ACE_1,ACE_2,ACE_3,AUROC_panc,AUROC_kidn,AUROC_livr,AURC_panc,AURC_kidn,AURC_livr,EAURC_panc,EAURC_kidn,EAURC_livr,CRPS_panc,CRPS_kidn,CRPS_livr,NCC_GT1-2,NCC_GT1-3,NCC_GT2-3,NCC_mean,Patient_ID
ensemble_anno3,0.8482018113136292,0.9806371927261353,0.9645357728004456,0.9622109246301987,0.9946863196673804,0.9766081883572042,0.3304839981494747,0.3287025559645231,28.178005607210743,30.133038346638727,31.6227766016838,0.001690785982646,0.0018410308985039,0.0017368434928357,0.0556811784285752,0.0685114766291981,0.0794436683652134,0.6275897875465263,0.7509137088200021,0.9055664371112064,0.096134415621207,0.1044578072664789,0.021369874576432,0.0928550912164913,0.1018760368748435,0.0211217413173443,4897.276393077671,21028.398399893504,95290.59549302603,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
ensemble_all,0.8964082598686218,0.979192316532135,0.9707183241844176,0.9718812226674344,0.991844844451407,0.9835426927602384,0.3304839981494747,0.3277021875408754,23.280893453645632,27.16615541441225,28.39013913315678,0.0007202441920526,0.0007817887235432,0.0013743594754487,0.0125952170304785,0.0168884310096623,0.0556841548462772,0.6342460176335154,0.79635757266814,0.8977317056374847,0.0974648251559085,0.1139079635008498,0.0185160813457356,0.0941886837439366,0.1113408441019022,0.0182977778858848,2796.0804870966635,2320.0948867165725,63029.72066935519,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
ensemble_anno1,0.8754544258117676,0.9684232473373412,0.9619755148887634,0.9663689369263012,0.9859547480918992,0.985577567393193,0.3304839981494747,0.3233897512018872,17.549928774784245,20.049937655763426,20.92844953645635,0.0025685001164674,0.0033671893179416,0.0038811862468719,0.0548713716974574,0.0638843154094739,0.0779495565771629,0.685498147729685,0.8454801618343285,0.909136495524474,0.1105827921864554,0.1351080014403733,0.0214631521134503,0.1073099003678908,0.1325431675109439,0.021262951095926,8227.224717963209,22170.49455670048,78148.51581703116,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
ensemble_anno2,0.9439483880996704,0.9817955493927002,0.9770808219909668,0.987063627664611,0.99489274933876,0.9884415505221114,0.3304839981494747,0.3306002316301034,26.248809496813376,27.892651361962702,29.58039891549808,0.002981734694913,0.0021720814984291,0.0030366019345819,0.0798233397902624,0.0517694003761527,0.0812678509184303,0.6226441397118564,0.8150309519966453,0.8990916164315087,0.0964301554409857,0.121442341210625,0.0184977146974378,0.0931540131640702,0.1188880448900539,0.0182984922555698,2234.9737044263384,4690.604776021608,20936.82662458327,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
anno3_init445566_foldall,0.8474886417388916,0.9807999730110168,0.9785735011100768,0.970963700547145,0.9943571452022296,0.9903793067205696,0.3304839981494747,0.3313059495366849,21.79449471770337,23.345235059857504,23.366642891095847,0.0024651866406202,0.0014780452474951,0.0020957433152943,0.0649407553378591,0.0702080352210064,0.0781390581685882,0.7159195730811122,0.8057260841386589,0.9393249375321606,0.1134884170417165,0.1166203810056033,0.0262821799706524,0.1102118249940871,0.1140607557670172,0.0260877503619142,2796.0804870966635,6156.354727027114,9032.805466258544,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
anno2_init112233_foldall,0.9339804649353028,0.9824934005737304,0.973911702632904,0.9891221251018578,0.9953444376369588,0.9876800520869438,0.3304839981494747,0.329552854751348,20.63976744055029,24.779023386727733,25.72936066053721,0.003158307634294,0.0025689699687063,0.0033335520420223,0.1030344435134103,0.0772099110390344,0.0880944851155494,0.6801499473015017,0.7968667866465077,0.9169873109927804,0.1184015959517175,0.1176391923131145,0.0230009808621624,0.1151274612090842,0.1150848045968278,0.0228063148174652,1819.1781508425736,6807.478958654419,40560.161697694224,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
anno1_init112233_foldall,0.8417963981628418,0.968763828277588,0.9632006287574768,0.9638361244997212,0.9858773713604024,0.9863970689184498,0.3304839981494747,0.3238223167593981,19.44222209522358,23.108440016582687,24.24871130596428,0.0027627118397504,0.0032568057067692,0.0037291492335498,0.0950965791445092,0.1083102113134331,0.1295196302689853,0.7101273864271781,0.8210666425399499,0.8964173348361658,0.1152535584577385,0.1293484024905683,0.0198402958296722,0.1119797126062944,0.1267837086820151,0.019641980929961,8461.382699529833,22456.214589721927,66028.58081340764,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
anno1_init778899_foldall,0.8790208697319031,0.9665543437004088,0.9588491916656494,0.9678030719060188,0.9853392288605392,0.9842550462926738,0.3304839981494747,0.3227126366331508,15.684387141358124,19.4164878389476,20.32240143290157,0.0031429510563611,0.0038483263924717,0.004261911381036,0.0701171133185759,0.090481030046491,0.0993934864371849,0.7392223280155654,0.9005688575585677,0.9343311942835898,0.1247001984435087,0.1515423925111787,0.0261832664933082,0.1214278763345149,0.148976500178999,0.0259797248290346,8110.231383730662,23742.66645406464,86704.7314470495,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
anno2_init445566_foldall,0.9410592317581176,0.9817821979522704,0.9760535359382628,0.9908655505023488,0.995283862001088,0.9874611158156767,0.3304839981494747,0.3302067750514186,26.92582403567252,27.76688675382964,29.44486372867092,0.003141435328871,0.0025192087050527,0.0032937787473201,0.0660084262998926,0.0632274788673435,0.0869526366207607,0.6768908094404212,0.8227998329677677,0.9024199734229,0.107559514584464,0.1211349294759097,0.0196681028028178,0.1042841859312371,0.1185806968728564,0.0194701340968146,3368.1717887568743,6051.147206114631,34215.62402432972,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
anno3_init778899_foldall,0.8901203870773315,0.980495810508728,0.9686299562454224,0.9788068354100689,0.9947338344645686,0.9861673052655532,0.3304839981494747,0.3294246238814594,27.65863337187866,29.42787793912432,31.0322412983658,0.0024263008963316,0.0019291338976472,0.0024736984632909,0.0675428204064765,0.0463139248437982,0.0585266066649683,0.7568923211878525,0.8189742273664723,0.9030877718388202,0.1293839451303507,0.1278224762074778,0.0198351623359857,0.1261102809170795,0.1252623844759334,0.0196301246795381,1890.275102685904,7259.229775514351,34215.62402432972,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
